Time 1-10.1.2.2-10.1.1.2 Aggregate-Flow
6.300000 0.040197 0.040197
6.310000 0.040201 0.040201
6.320000 0.040213 0.040213
6.330000 0.040217 0.040217
6.340000 0.040212 0.040212
6.350000 0.040212 0.040212
6.360000 0.040214 0.040214
6.370000 0.040205 0.040205
6.380000 0.040205 0.040205
6.390000 0.040214 0.040214
6.400000 0.040209 0.040209
6.410000 0.040200 0.040200
6.420000 0.040199 0.040199
6.430000 0.040200 0.040200
6.440000 0.040197 0.040197
6.450000 0.040199 0.040199
6.460000 0.040199 0.040199
6.470000 0.040198 0.040198
6.480000 0.040196 0.040196
6.490000 0.040200 0.040200
6.500000 0.040199 0.040199
6.510000 0.040199 0.040199
6.520000 0.040200 0.040200
6.530000 0.040198 0.040198
6.540000 0.040198 0.040198
6.550000 0.040198 0.040198
6.560000 0.040199 0.040199
6.570000 0.040199 0.040199
6.580000 0.040198 0.040198
6.590000 0.040200 0.040200
6.600000 0.040198 0.040198
6.610000 0.040198 0.040198
6.620000 0.040201 0.040201
6.630000 0.040200 0.040200
6.640000 0.040202 0.040202
6.650000 0.040198 0.040198
6.660000 0.040200 0.040200
6.670000 0.040201 0.040201
6.680000 0.040197 0.040197
6.690000 0.040197 0.040197
6.700000 0.040198 0.040198
6.710000 0.040200 0.040200
6.720000 0.040199 0.040199
6.730000 0.040197 0.040197
6.740000 0.040197 0.040197
6.750000 0.040201 0.040201
6.760000 0.040199 0.040199
6.770000 0.040199 0.040199
6.780000 0.040202 0.040202
6.790000 0.040202 0.040202
6.800000 0.040200 0.040200
6.810000 0.040201 0.040201
6.820000 0.040198 0.040198
6.830000 0.040200 0.040200
6.840000 0.040199 0.040199
6.850000 0.040199 0.040199
6.860000 0.040201 0.040201
6.870000 0.040199 0.040199
6.880000 0.040197 0.040197
6.890000 0.040200 0.040200
6.900000 0.040201 0.040201
6.910000 0.040198 0.040198
6.920000 0.040196 0.040196
6.930000 0.040199 0.040199
6.940000 0.040202 0.040202
6.950000 0.040202 0.040202
6.960000 0.040200 0.040200
6.970000 0.040200 0.040200
6.980000 0.040199 0.040199
6.990000 0.040201 0.040201
7.000000 0.040196 0.040196
7.010000 0.040200 0.040200
7.020000 0.040201 0.040201
7.030000 0.040199 0.040199
7.040000 0.040200 0.040200
7.050000 0.040200 0.040200
7.060000 0.040202 0.040202
7.070000 0.040198 0.040198
7.080000 0.040201 0.040201
7.090000 0.040198 0.040198
7.100000 0.040201 0.040201
7.110000 0.040199 0.040199
7.120000 0.040201 0.040201
7.130000 0.040197 0.040197
7.140000 0.040201 0.040201
7.150000 0.040199 0.040199
7.160000 0.040199 0.040199
7.170000 0.040199 0.040199
7.180000 0.040201 0.040201
7.190000 0.040200 0.040200
7.200000 0.040200 0.040200
7.210000 0.040199 0.040199
7.220000 0.040199 0.040199
